,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
88,88.0,224834.0,9081.0,,Tau Phe,,0.017941,-48.809876,181.8182,-17.92,-6.75,8.0,5.71,-0.588,G8III,0.911,119.736878,0.562356,-136.823418,9.9e-07,-1.579e-05,-1.008e-05,0.0046969598121488,-0.8518930353430763,-8.68786116e-08,-3.2724923e-08,Tau,,Phe,1,88,,149.69248567600363,,,
122,122.0,224889.0,9084.0,,The Oct,,0.026616,-77.065724,66.5779,-56.52,-176.95,24.0,4.78,0.663,K2III,1.254,14.902031,0.103716,-64.888859,-5.004e-05,-1.859e-05,-3.671e-05,0.0069680833539428,-1.3450506304308112,-2.740166922e-07,-8.57877807e-07,The,,Oct,1,122,,47.29334149186517,,,
145,145.0,224926.0,9087.0,,29    Psc,,0.030402,-3.027504,139.2758,18.9,-10.25,23.0,5.13,-0.589,B7III-IV,-0.128,139.077212,1.106982,-7.355907,2.302e-05,1.294e-05,-8.15e-06,0.0079593117606242,-0.0528399088172674,9.16297856e-08,-4.9693402e-08,,29.0,Psc,1,145,,149.830421062266,,,
154,154.0,224935.0,9089.0,,30    Psc,,0.032672,-6.014072,132.4503,46.62,-41.32,-12.0,4.37,-1.24,M3III,1.631,131.716394,1.126662,-13.877167,-1.524e-05,2.98e-05,-2.51e-05,0.0085534786762064,-0.104965358843855,2.260201379e-07,-2.00325012e-07,,30.0,Psc,1,154,,272.89777828080406,YY,4.418,4.308
171,171.0,224930.0,9088.0,Gl 914A,85    Peg,,0.036139,27.082256,12.1699,778.59,-918.72,-37.6,5.8,5.374,G3V,0.69,10.834733,0.102555,5.540428,-9.99e-06,4.584e-05,-6.577e-05,0.00946108171981,0.4726745357978474,3.7747108354e-06,-4.454080246e-06,,85.0,Peg,1,171,Gl 914,0.6171631684555837,,,
183,183.0,224990.0,9091.0,,Zet Scl,,0.038867,-29.720414,154.0832,9.66,14.0,8.6,5.04,-0.899,B4V,-0.15,133.807455,1.36158,-76.389577,1.275e-05,7.35e-06,4.72e-06,0.0101752527887634,-0.5187190791032438,4.68330015e-08,6.7873915e-08,Zet,,Scl,1,183,,199.34254564980927,,,
186,186.0,224995.0,9092.0,,31    Psc,,0.040046,8.956824,122.8501,-0.87,-4.11,11.0,6.33,0.883,A6V,0.182,121.345487,1.272247,19.126563,1.15e-05,-4e-07,-6.7e-07,0.0104841170935585,0.1563260616488825,-4.217879e-09,-1.9925842e-08,,31.0,Psc,1,186,,38.618908944898976,,,
194,194.0,225003.0,9093.0,,32    Psc,,0.041584,8.485463,36.9004,-93.55,-47.5,10.0,5.7,2.865,F0V,0.315,36.494389,0.397318,5.44498,1.155e-05,-1.661e-05,-6.89e-06,0.0108866994970161,0.1480992689931425,-4.535431982e-07,-2.30286498e-07,,32.0,Psc,1,194,,6.223002851691592,,,
300,301.0,225132.0,9098.0,,2    Cet,,0.06233,-17.335988,83.4725,28.57,-7.28,-5.0,4.55,-0.058,B9IVn,-0.047,79.670013,1.300177,-24.872663,-5.95e-06,1.147e-05,-1.29e-06,0.0163180279735996,-0.3025700638263062,1.385112685e-07,-3.5294435e-08,,2.0,Cet,1,300,,91.87556016660622,,,
330,330.0,225180.0,9100.0,,9    Cas,,0.070462,62.287664,100000.0,-0.99,-0.37,-18.0,5.9,-14.1,A1III,0.274,46495.3549,857.790357,88529.351835,0.00015906,-0.00047707,-9.971e-05,0.0184469030030149,1.0871248133041624,-4.7996554e-09,-1.79381e-09,,9.0,Cas,1,330,,38018939.632056125,,,
355,355.0,225212.0,9103.0,,3    Cet,,0.075033,-10.509523,641.0256,-6.49,-11.88,-42.0,4.99,-4.044,K3Ibvar,1.619,630.150175,12.379991,-116.922329,-4.856e-05,-2.113e-05,-2.846e-05,0.0196435746864311,-0.1834257839638187,-3.14644079e-08,-5.7595865e-08,,3.0,Cet,1,355,,3610.771451003532,,,
