id,hd,hr,gl,bf,proper,ra,dec,dist,mag,spect,bayer,flam,lum,con,hip
37173,61421.0,2943.0,Gl 280A,10Alp CMi,Procyon,7.655033,5.224993,3.5142,0.4,F5IV-V,Alp,10.0,7.4404636619191935,CMi,37279.0
36087,58715.0,2845.0,,3Bet CMi,Gomeisa,7.452512,8.289315,49.5786,2.89,B8Vvar,Bet,3.0,149.41699574067007,CMi,36188.0
40587,71243.0,3318.0,Gl 305,Alp Cha,,8.308703,-76.919722,19.5618,4.05,F5III,Alp,,7.99466002520316,Cha,40702.0
51690,92305.0,4174.0,,Gam Cha,,10.591166,-78.607786,128.041,4.11,M0III,Gam,,324.1902878227871,Cha,51839.0
59816,106911.0,4674.0,,Bet Cha,,12.305812,-79.31224,91.4913,4.24,B5Vn,Bet,,146.82499678319857,Cha,60000.0
43939,76756.0,3572.0,,65Alp Cnc,Acubens,8.974784,11.857701,57.7367,4.26,A5m,Alp,65.0,57.385213267461886,Cnc,44066.0
42792,74442.0,3461.0,,47Del Cnc,Asellus Australis,8.74475,18.154309,40.032,3.94,K0III,Del,47.0,37.05100563019239,Cnc,42911.0
42687,74198.0,3449.0,,43Gam Cnc,Asellus Borealis,8.721431,21.468501,55.5556,4.66,A1IV,Gam,43.0,36.77900704223862,Cnc,42806.0
42984,74739.0,3475.0,,48Iot Cnc,,8.778284,28.759898,101.5228,4.03,G8Iab:,Iot,48.0,219.381499189791,Cnc,43103.0
40411,69267.0,3249.0,,17Bet Cnc,Tarf,8.275256,9.185545,93.0233,3.53,K4III,Bet,17.0,291.87708481971424,Cnc,40526.0
40728,69897.0,3262.0,Gl 303,18Chi Cnc,,8.334406,27.217707,18.2715,5.13,F6V,Chi,18.0,2.5798829360403723,Cnc,40843.0
39840,68273.0,3207.0,,Gam2Vel,,8.158876,-47.336588,342.4658,1.75,WC8 + O9I,Gam-2,,20379.803862870547,Vel,39953.0
44689,78647.0,3634.0,,Lam Vel,Suhail,9.133268,-43.432589,166.9449,2.23,K4Ib-II,Lam,,3113.149665447025,Vel,44816.0
46518,82434.0,3786.0,Gl 351A,Psi Vel,,9.511674,-40.466769,18.8147,3.6,F2IV,Psi,,11.189224819552424,Vel,46651.0
50050,88955.0,4023.0,,,,10.245607,-42.121942,31.0752,3.85,A2V,,,24.25492857109422,Vel,50191.0
51837,92139.0,4167.0,,,,10.621717,-48.22562,26.8384,3.84,A3m+...,,,18.264172487743544,Vel,51986.0
52575,93497.0,4216.0,,Mu  Vel,,10.779488,-49.420255,35.9195,2.69,G5III SB,Mu,,94.36262202767266,Vel,52727.0
48635,86440.0,3940.0,,Phi Vel,,9.947708,-54.56779,487.8049,3.52,B5Ib,Phi,,8098.41447325789,Vel,48774.0
45809,81188.0,3734.0,,Kap Vel,Markeb,9.368562,-55.010668,175.4386,2.47,B2IV,Kap,,2756.7666102901003,Vel,45941.0
42794,74956.0,3485.0,Gl 321.3A,Del Vel,Alsephina,8.745059,-54.708821,24.6975,1.93,A1V,Del,,89.78421709097269,Vel,42913.0
42416,74195.0,3447.0,,,,8.671554,-52.921887,151.2859,3.6,B3IV,Omi,,723.7690370745288,Vel,42536.0
67088,120315.0,5191.0,,85Eta UMa,Alkaid,13.792354,49.313265,31.8674,1.85,B3V SB,Eta,85.0,160.99040762157054,UMa,67301.0
65173,116656.0,5054.0,GJ 3783A,79Zet UMa,Mizar,13.398747,54.925362,26.3089,2.23,A2V,Zet,79.0,77.33925780489973,UMa,65378.0
62757,112185.0,4905.0,,77Eps UMa,Alioth,12.900472,55.959821,25.31,1.76,A0p,Eps,77.0,110.2554332102224,UMa,62956.0
59592,106591.0,4660.0,Gl 459,69Del UMa,Megrez,12.257086,57.032617,24.6853,3.32,A3Vvar,Del,69.0,24.9344618809783,UMa,59774.0
53905,95689.0,4301.0,,50Alp UMa,Dubhe,11.062155,61.751033,37.679,1.81,F7V comp,Alp,50.0,233.3458062281002,UMa,54061.0
53754,95418.0,4295.0,GJ 9343,48Bet UMa,Merak,11.030677,56.382427,24.4499,2.34,A1V,Bet,48.0,60.31148196178175,UMa,53910.0
57828,103287.0,4554.0,,64Gam UMa,Phecda,11.897168,53.69476,25.5037,2.41,A0V SB,Gam,64.0,61.54602373713163,UMa,58001.0
64758,115659.0,5020.0,,46Gam Hya,,13.315359,-23.171512,41.0341,2.99,G8III,Gam,46.0,93.41142557364785,Hya,64962.0
63963,114149.0,4958.0,,45Psi Hya,,13.150909,-23.11807,70.9723,4.94,K0III,Psi,45.0,46.34469197362877,Hya,64166.0
57763,103192.0,4552.0,,Bet Hya,,11.881813,-33.908124,94.9668,4.29,Ap Si,Bet,,151.0775731924994,Hya,57936.0
56174,100407.0,4450.0,,Xi  Hya,,11.550038,-31.857625,39.7456,3.54,G8III,Xi,,52.77156817648117,Hya,56343.0
52789,93813.0,4232.0,,Nu  Hya,,10.827079,-16.193648,44.0723,3.11,K0/K1III,Nu,,96.47171518961676,Hya,52943.0
50924,90432.0,4094.0,,42Mu  Hya,,10.434842,-16.83629,71.7875,3.83,K4III,Mu,42.0,131.82567385564073,Hya,51069.0
