con,hip,id,hd,hr,gl,bf,proper,ra,dec,dist,mag,spect,bayer,flam,lum
Sct,92202.0,91915,173819.0,7066.0,,,,18.791375,-5.705147,100000.0,5.38,K0Ibpvar,,,61376200.516479455
Sct,92175.0,91888,173764.0,7063.0,,Bet Sct,,18.786242,-4.747867,280.8989,4.22,G5II...,Bet,,1409.9379493587232
Sct,91117.0,90835,171443.0,6973.0,,Alp Sct,,18.586785,-8.244073,61.0501,3.85,K2III,Alp,,93.58365435835302
Sct,90595.0,90315,170296.0,6930.0,,Gam Sct,,18.486626,-14.565813,97.9432,4.67,A1IV/V,Gam,,113.24003632355566
Sct,92814.0,92524,175156.0,7119.0,,,,18.911976,-15.603036,429.1845,5.08,B3II,,,1490.0471117870993
CrA,90887.0,90605,170642.0,6942.0,,,,18.539257,-39.704001,70.2741,5.16,A3V,,,37.11931900441403
CrA,91875.0,91589,172777.0,7021.0,,Lam CrA,,18.729706,-38.323441,62.9327,5.11,A0/A1V,Lam,,31.160183031054608
CrA,92989.0,92697,175362.0,7129.0,,,,18.944582,-37.343241,131.9261,5.36,B3V,,,108.8428737943594
CrA,93174.0,92881,175813.0,7152.0,,Eps CrA,,18.978721,-37.107357,30.1841,4.83,F3IV/V,Eps,,9.281111710201682
CrA,93825.0,93530,177474.0,7226.0,Gl 743.1A,Gam CrA,,19.106971,-37.063437,17.304,4.23,F7IV-V,Gam,,5.301515066784585
CrA,94114.0,93819,178253.0,7254.0,,Alp CrA,Meridiana,19.157869,-37.904474,38.432,4.11,A0/A1V,Alp,,29.187708481971423
CrA,94160.0,93865,178345.0,7259.0,,Bet CrA,,19.167154,-39.340796,145.3488,4.1,K0II/IIICN.,Bet,,421.5023497210444
CrA,94005.0,93710,177873.0,7242.0,,Del CrA,,19.139156,-40.496703,54.7345,4.57,K1III,Del,,38.76144867002412
CrA,93542.0,93248,176638.0,7188.0,,Zet CrA,,19.051907,-42.095105,59.2066,4.74,A0Vn,Zet,,38.79716572936907
CrA,92953.0,92661,175219.0,7122.0,,,,18.938044,-42.710676,90.5797,5.35,G6III-IV,,,51.76068319505679
